Date,Open,High,Low,Close,AdjClose,Volume
2025-04-08,84.7800,85.2000,78.7000,80.3500,79.1504,6082400
2025-04-09,79.8900,89.8200,77.7900,89.0300,87.7008,10070200
2025-04-10,84.1200,85.4200,81.3100,83.2600,82.0170,7853300
2025-04-11,84.1900,85.3800,82.2100,84.7400,83.4749,5355900
2025-04-14,86.4600,87.0100,85.0500,85.7800,84.4993,4353500
2025-04-15,86.4900,87.0000,85.5600,85.9500,84.6668,3067800
2025-04-16,85.9500,86.6300,84.0200,85.0200,83.7507,3320000
2025-04-17,84.6200,85.8300,83.4800,84.7500,83.4847,5452300
2025-04-21,84.3300,85.1700,81.6000,82.7100,81.4752,2884300
2025-04-22,83.5600,86.1300,83.1900,85.7200,84.4402,6466100
2025-04-23,88.8600,90.1700,87.7100,87.8100,86.4990,6540700
2025-04-24,88.1100,92.0700,87.5300,91.3500,89.9862,5149200
2025-04-25,92.5100,93.3800,91.7700,92.4400,91.0599,5629800
2025-04-28,92.4500,93.6800,92.3500,93.0400,91.6509,6238400
2025-04-29,93.0000,93.7500,91.3500,93.4600,92.0647,4159500
2025-04-30,92.8100,95.6100,92.1300,95.4200,93.9954,5809700
2025-05-01,96.7900,97.8200,96.2400,96.2800,94.8426,4745700
2025-05-02,97.9300,99.1200,97.2300,98.5100,97.0393,4690400
2025-05-05,97.7100,98.6700,97.1500,98.2500,96.7832,5743800
2025-05-06,94.3800,95.6200,93.7900,93.9500,92.5474,8254300
2025-05-07,94.5300,94.6300,91.4200,91.8200,90.4492,8987200
2025-05-08,93.0000,95.1400,92.4400,93.9400,92.5375,4921300
2025-05-09,94.4200,94.8600,93.7600,94.5900,93.1778,3783400
2025-05-12,98.8900,100.0100,97.5600,98.7300,97.2560,5831600
2025-05-13,99.7000,100.4100,97.9800,98.1600,96.6945,6100700
2025-05-14,99.4000,99.4000,97.3100,97.4700,96.0148,3309100
2025-05-15,96.3000,97.9000,96.3000,97.8300,96.3694,3222600
2025-05-16,97.6000,99.0800,97.4400,98.9400,97.4629,3180800
2025-05-19,97.1900,98.7900,96.7200,98.6500,97.1772,4834800
2025-05-20,98.5800,98.6200,96.6100,96.7200,95.2760,3792000
2025-05-21,96.0600,96.7900,94.9800,95.0800,93.6605,4773800
2025-05-22,94.0200,95.8200,93.7000,95.1600,93.7393,3116800
2025-05-23,92.9700,94.7500,92.8000,94.0900,93.0470,5235900
2025-05-27,95.1200,95.7000,94.5600,95.2100,94.1546,3932900
2025-05-28,94.4800,94.7000,91.8000,91.9600,90.9407,3420200
2025-05-29,92.6800,92.7500,91.1300,91.9600,90.9407,5640300
2025-05-30,90.2300,91.4200,89.2900,91.1600,90.1495,8756700
2025-06-02,90.6400,91.0000,88.8500,90.9900,89.9814,4916900
2025-06-03,90.5600,91.7600,90.3500,91.1200,90.1100,3891000
2025-06-04,91.3100,91.7900,90.8200,90.8800,89.8726,2878200
2025-06-05,92.0600,93.2200,90.7500,92.8000,91.7714,3682100
2025-06-06,93.4200,93.7100,92.0100,92.5400,91.5142,2151400
2025-06-09,92.3300,93.5300,91.9200,93.1800,92.1471,3466500
2025-06-10,93.2600,93.7600,92.4200,92.9000,91.8703,3236600
2025-06-11,93.1400,93.2400,90.6800,91.0800,90.0704,3900900
2025-06-12,90.5900,93.4200,90.3600,92.6100,91.5835,3436000
2025-06-13,89.8400,91.3900,89.6900,90.0400,89.0420,2528100
2025-06-16,90.8900,91.7200,90.1900,90.5100,89.5067,3928000
2025-06-17,90.6100,90.6500,89.5800,89.8100,88.8145,2589600
2025-06-18,89.0000,90.7900,88.9200,89.0300,88.0431,3825500
2025-06-20,87.5600,88.9400,87.4000,88.1500,87.1729,8113900
2025-06-23,87.5100,89.9300,86.8300,89.9300,88.9332,5250000
2025-06-24,90.9900,91.6800,90.0200,91.5200,90.5055,5003800
2025-06-25,91.1500,91.4600,88.6400,88.6700,87.6871,3654700
2025-06-26,88.3600,89.4900,86.9700,89.0700,88.0827,5252300
2025-06-27,90.1700,91.9700,89.6300,91.5200,90.5055,6725900
2025-06-30,91.5400,92.3400,91.2200,91.8000,90.7824,4242300
2025-07-01,91.8600,94.7300,91.4300,93.3000,92.2658,4072900
2025-07-02,94.0700,94.5300,93.3700,94.4700,93.4228,3432800
2025-07-03,95.0000,95.6700,94.7400,94.9400,93.8876,2931800
2025-07-07,95.0900,95.5600,93.7100,94.3400,93.2943,2804400
2025-07-08,94.6400,95.0900,94.0100,94.6500,93.6009,2980200
2025-07-09,95.6600,96.5400,94.4400,96.4700,95.4007,3264600
2025-07-10,96.0800,96.5600,95.6100,95.8900,94.8271,3676100
2025-07-11,95.4500,95.5400,94.6500,95.2400,94.1843,2318300
2025-07-14,94.4300,94.9600,94.0100,94.8400,93.7887,2203200
2025-07-15,96.9400,96.9500,94.0200,94.1900,93.1460,3616800
2025-07-16,94.1800,94.2500,91.2200,92.8800,91.8505,5764500
2025-07-17,92.7200,93.2200,91.2600,92.9400,91.9098,4261400
2025-07-18,93.4000,94.0700,92.6600,94.0600,93.0174,3778500
2025-07-21,94.2500,94.9500,93.8900,94.2500,93.2053,3526600
2025-07-22,93.8000,95.8600,93.7100,95.5400,94.4810,2703100
2025-07-23,96.3000,97.0300,95.8600,96.8300,95.7567,3373700
2025-07-24,95.8500,97.3500,95.6100,97.1700,96.0929,3068900
2025-07-25,96.7700,100.2300,96.7700,100.0600,98.9509,8790500
2025-07-28,100.0200,100.0200,98.1800,98.5400,97.4477,5037200
2025-07-29,100.1700,100.1700,97.2300,97.2400,96.1621,3033900
2025-07-30,97.5400,98.0200,96.1100,96.5200,95.4501,3093700
2025-07-31,95.3300,96.1100,94.5000,95.4500,94.3920,3998900
2025-08-01,94.2900,95.7800,93.5800,95.2400,94.1843,2876300
2025-08-04,96.0000,98.6400,95.7800,98.2200,97.1313,3814000
2025-08-05,97.7200,98.0800,95.9000,97.9500,96.8643,3508800
2025-08-06,97.5500,98.5100,97.0000,97.6000,96.5182,4679900
2025-08-07,106.1300,107.2000,104.5000,106.9200,105.7348,9760800
2025-08-08,107.0000,109.9900,106.9100,109.3000,108.0885,7683800
2025-08-11,108.3500,108.7600,106.4300,107.4200,106.2293,4483600
2025-08-12,108.2600,112.1900,107.8800,112.0300,110.7882,7540200
2025-08-13,112.9700,113.9500,111.6000,113.6500,112.3902,5807700
2025-08-14,112.8900,113.1300,111.4700,111.7500,110.5113,2892100
2025-08-15,112.3800,112.4100,110.7300,110.8400,109.6114,2780200
2025-08-18,110.9900,111.7100,110.1100,111.5300,110.2937,6303200
2025-08-19,112.1000,113.4300,111.8200,112.4400,111.1937,4342200
2025-08-20,111.6500,112.3100,109.8000,110.7700,109.5422,4046200
2025-08-21,109.7900,111.1500,109.6900,110.7200,109.4927,1901000
